Name,Team,Role,Matchday,Vote
DONNARUMMA G, Milan, P, 21, 6.5
DONNARUMMA G, Milan, P, 22, 7.0
DONNARUMMA G, Milan, P, 23, 7.0
DONNARUMMA G, Milan, P, 24, 4.5
DONNARUMMA G, Milan, P, 25, 6.0
DONNARUMMA G, Milan, P, 26, 7.0
DONNARUMMA G, Milan, P, 27, 5.0
DONNARUMMA G, Milan, P, 28, 2.5
DONNARUMMA G, Milan, P, 29, 3.5
DONNARUMMA G, Milan, P, 30, 6.0
DONNARUMMA G, Milan, P, 31, 6.0
DONNARUMMA G, Milan, P, 32, 6.0
DONNARUMMA G, Milan, P, 33, 5.5
DONNARUMMA G, Milan, P, 34, 2.5
DONNARUMMA G, Milan, P, 35, 6.0
DONNARUMMA G, Milan, P, 36, 6.5
DONNARUMMA G, Milan, P, 37, 11.0
DONNARUMMA G, Milan, P, 38, 6.0
DRAGOWSKI, Fiorentina, P, 1, 5.5
DRAGOWSKI, Fiorentina, P, 2, 6.0
DRAGOWSKI, Fiorentina, P, 3, 5.5
DRAGOWSKI, Fiorentina, P, 4, 5.0
DRAGOWSKI, Fiorentina, P, 5, 6.0
DRAGOWSKI, Fiorentina, P, 6, 6.0
DRAGOWSKI, Fiorentina, P, 7, 6.0
DRAGOWSKI, Fiorentina, P, 8, 6.0
DRAGOWSKI, Fiorentina, P, 9, 6.0
DRAGOWSKI, Fiorentina, P, 10, 6.0
DRAGOWSKI, Fiorentina, P, 11, 6.0
DRAGOWSKI, Fiorentina, P, 12, 6.0
DRAGOWSKI, Fiorentina, P, 13, 6.0
DRAGOWSKI, Fiorentina, P, 14, 6.0
DRAGOWSKI, Fiorentina, P, 15, 6.0
DRAGOWSKI, Fiorentina, P, 16, 6.0
DRAGOWSKI, Fiorentina, P, 17, 6.0
DRAGOWSKI, Fiorentina, P, 18, 6.0
DRAGOWSKI, Fiorentina, P, 19, 6.0
DRAGOWSKI, Fiorentina, P, 20, 6.0
DRAGOWSKI, Fiorentina, P, 21, 6.0
DRAGOWSKI, Fiorentina, P, 22, 6.0
DRAGOWSKI, Fiorentina, P, 23, 6.0
DRAGOWSKI, Fiorentina, P, 24, 6.5
DRAGOWSKI, Fiorentina, P, 25, 2.5
DRAGOWSKI, Fiorentina, P, 26, 2.5
DRAGOWSKI, Fiorentina, P, 27, 4.0
DRAGOWSKI, Fiorentina, P, 28, 4.5
DRAGOWSKI, Fiorentina, P, 29, 5.5
DRAGOWSKI, Fiorentina, P, 30, 6.0
DRAGOWSKI, Fiorentina, P, 31, 3.5
DRAGOWSKI, Fiorentina, P, 32, 8.5
DRAGOWSKI, Fiorentina, P, 33, 1.5
DRAGOWSKI, Fiorentina, P, 34, 3.0
DRAGOWSKI, Fiorentina, P, 35, 7.5
DRAGOWSKI, Fiorentina, P, 36, 5.5
DRAGOWSKI, Fiorentina, P, 37, 6.0
DRAGOWSKI, Fiorentina, P, 38, 9.5
FRATTALI, Parma, P, 1, 6.0
FRATTALI, Parma, P, 2, 6.0
FRATTALI, Parma, P, 3, 6.0
FRATTALI, Parma, P, 4, 6.0
FRATTALI, Parma, P, 5, 6.0
FRATTALI, Parma, P, 6, 6.0
FRATTALI, Parma, P, 7, 6.0
FRATTALI, Parma, P, 8, 6.0
FRATTALI, Parma, P, 9, 6.0
FRATTALI, Parma, P, 10, 6.0
FRATTALI, Parma, P, 11, 6.0
FRATTALI, Parma, P, 12, 6.0
FRATTALI, Parma, P, 13, 6.0
FRATTALI, Parma, P, 14, 6.0
FRATTALI, Parma, P, 15, 6.0
FRATTALI, Parma, P, 16, 6.0
FRATTALI, Parma, P, 17, 6.0
FRATTALI, Parma, P, 18, 6.0
FRATTALI, Parma, P, 19, 6.0
FRATTALI, Parma, P, 20, 6.0
FRATTALI, Parma, P, 21, 6.0
FRATTALI, Parma, P, 22, 6.0
FRATTALI, Parma, P, 23, 6.0
FRATTALI, Parma, P, 24, 6.0
FRATTALI, Parma, P, 25, 6.0
FRATTALI, Parma, P, 26, 6.0
FRATTALI, Parma, P, 27, 6.0
FRATTALI, Parma, P, 28, 6.0
FRATTALI, Parma, P, 29, 6.0
FRATTALI, Parma, P, 30, 6.0
FRATTALI, Parma, P, 31, 6.0
FRATTALI, Parma, P, 32, 6.0
FRATTALI, Parma, P, 33, 6.0
FRATTALI, Parma, P, 34, 6.0
FRATTALI, Parma, P, 35, 6.0
FRATTALI, Parma, P, 36, 6.0
FRATTALI, Parma, P, 37, 6.0
FRATTALI, Parma, P, 38, 4.5
FULIGNATI, Empoli, P, 1, 6.0
FULIGNATI, Empoli, P, 2, 6.0
FULIGNATI, Empoli, P, 3, 6.0
FULIGNATI, Empoli, P, 4, 6.0
FULIGNATI, Empoli, P, 5, 6.0
FULIGNATI, Empoli, P, 6, 6.0
FULIGNATI, Empoli, P, 7, 6.0
FULIGNATI, Empoli, P, 8, 6.0
FULIGNATI, Empoli, P, 9, 6.0
FULIGNATI, Empoli, P, 10, 6.0
FULIGNATI, Empoli, P, 11, 6.0
FULIGNATI, Empoli, P, 12, 6.0
FULIGNATI, Empoli, P, 13, 6.0
FULIGNATI, Empoli, P, 14, 6.0
FULIGNATI, Empoli, P, 15, 6.0
FULIGNATI, Empoli, P, 16, 6.0
FULIGNATI, Empoli, P, 17, 6.0
FULIGNATI, Empoli, P, 18, 6.0
FULIGNATI, Empoli, P, 19, 6.0
FULIGNATI, Empoli, P, 20, 6.0
FULIGNATI, Empoli, P, 21, 6.0
FULIGNATI, Empoli, P, 22, 6.0
FULIGNATI, Empoli, P, 23, 6.0
FULIGNATI, Empoli, P, 24, 6.0
FULIGNATI, Empoli, P, 25, 6.0
FULIGNATI, Empoli, P, 26, 6.0
FULIGNATI, Empoli, P, 27, 6.0
FULIGNATI, Empoli, P, 28, 6.0
FULIGNATI, Empoli, P, 29, 6.0
FULIGNATI, Empoli, P, 30, 6.0
FULIGNATI, Empoli, P, 31, 6.0
FULIGNATI, Empoli, P, 32, 6.0
FULIGNATI, Empoli, P, 33, 6.0
FULIGNATI, Empoli, P, 34, 6.0
FULIGNATI, Empoli, P, 35, 6.0
FULIGNATI, Empoli, P, 36, 6.0
FULIGNATI, Empoli, P, 37, 6.0
FULIGNATI, Empoli, P, 38, 6.0
FUZATO, Roma, P, 1, 6.0
FUZATO, Roma, P, 2, 6.0
FUZATO, Roma, P, 3, 6.0
FUZATO, Roma, P, 4, 6.0
FUZATO, Roma, P, 5, 6.0
FUZATO, Roma, P, 6, 6.0
FUZATO, Roma, P, 7, 6.0
FUZATO, Roma, P, 8, 6.0
FUZATO, Roma, P, 9, 6.0
FUZATO, Roma, P, 10, 6.0
FUZATO, Roma, P, 11, 6.0
FUZATO, Roma, P, 12, 6.0
FUZATO, Roma, P, 13, 6.0
FUZATO, Roma, P, 14, 6.0
FUZATO, Roma, P, 15, 6.0
FUZATO, Roma, P, 16, 6.0
FUZATO, Roma, P, 17, 6.0
FUZATO, Roma, P, 18, 6.0
FUZATO, Roma, P, 19, 6.0
FUZATO, Roma, P, 20, 6.0
FUZATO, Roma, P, 21, 6.0
FUZATO, Roma, P, 22, 6.0
FUZATO, Roma, P, 23, 6.0
FUZATO, Roma, P, 24, 6.0
FUZATO, Roma, P, 25, 6.0
FUZATO, Roma, P, 26, 6.0
FUZATO, Roma, P, 27, 6.0
FUZATO, Roma, P, 28, 6.0
FUZATO, Roma, P, 29, 6.0
FUZATO, Roma, P, 30, 6.0
FUZATO, Roma, P, 31, 6.0
FUZATO, Roma, P, 32, 6.0
FUZATO, Roma, P, 33, 6.0
FUZATO, Roma, P, 34, 6.0
FUZATO, Roma, P, 35, 6.0
FUZATO, Roma, P, 36, 6.0
FUZATO, Roma, P, 37, 6.0
FUZATO, Roma, P, 38, 6.0
GHIDOTTI, Fiorentina, P, 1, 6.0
GHIDOTTI, Fiorentina, P, 2, 6.0
GHIDOTTI, Fiorentina, P, 3, 6.0
GHIDOTTI, Fiorentina, P, 4, 6.0
GHIDOTTI, Fiorentina, P, 5, 6.0
GHIDOTTI, Fiorentina, P, 6, 6.0
GHIDOTTI, Fiorentina, P, 7, 6.0
GHIDOTTI, Fiorentina, P, 8, 6.0
